PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Tyronn Lue,WSH,PG,71,20.5,7.8,3.1,7.3,42.7,0.9,2.0,44.7,0.7,0.9,76.2,1.7,3.5,1.4,0.7,0.0,0,0,0.00
Othella Harrington,NY,PF,77,20.3,7.7,3.1,5.8,52.7,0.0,0.0,0.0,1.6,2.2,70.9,4.5,0.5,1.2,0.4,0.5,2,0,0.00
Chris Mihm,CLE,C,74,22.4,7.7,3.0,7.1,42.0,0.0,0.1,42.9,1.7,2.4,69.3,5.3,0.3,1.3,0.2,1.2,5,0,0.00
Erick Strickland,BOS,PG,79,20.8,7.7,2.4,6.2,38.9,1.2,3.1,38.5,1.7,2.0,84.5,2.7,2.3,1.2,0.7,0.0,0,0,0.00
Ben Wallace,DET,PF,80,36.5,7.6,3.2,6.0,53.1,0.0,0.0,0.0,1.2,2.9,42.3,13.0,1.4,0.9,1.7,3.5,25,1,0.00
Erick Dampier,GS,C,73,23.8,7.6,2.9,6.6,43.5,0.0,0.0,0.0,1.9,2.9,64.5,5.3,1.2,2.1,0.2,2.3,5,0,0.00
Joe Johnson,BOS,G,77,24.9,7.5,3.3,7.6,43.0,0.5,1.7,29.2,0.5,0.7,77.4,3.3,2.3,0.9,0.8,0.3,2,0,0.00
Jonathan Bender,IND,SF,78,21.1,7.4,2.5,5.9,43.0,0.6,1.6,36.0,1.8,2.3,77.3,3.1,0.8,1.2,0.2,0.6,1,0,0.00
Aaron Williams,NJ,C,82,18.9,7.2,2.8,5.4,52.6,0.0,0.0,0.0,1.6,2.3,69.9,4.1,0.9,1.0,0.4,0.9,0,0,0.00
Devean George,LAL,SF,82,21.5,7.1,2.6,6.4,41.1,0.8,2.2,37.1,1.0,1.5,67.5,3.7,1.4,0.8,0.9,0.5,0,0,0.00
Popeye Jones,WSH,PF,79,24.3,7.0,2.8,6.4,43.7,0.1,0.1,36.4,1.3,1.6,81.5,7.3,1.6,1.1,0.6,0.2,11,0,0.00
Zeljko Rebraca,DET,C,74,15.9,6.9,2.6,5.1,50.5,0.0,0.0,0.0,1.8,2.4,77.1,3.9,0.5,1.1,0.4,1.0,1,0,0.00
Tony Battie,BOS,C,74,24.6,6.9,2.9,5.3,54.1,0.0,0.0,0.0,1.2,1.8,67.7,6.5,0.5,0.7,0.8,0.9,3,0,0.00
Robert Horry,LAL,PF,81,26.4,6.8,2.3,5.7,39.8,0.9,2.5,37.4,1.3,1.7,78.3,5.9,2.9,1.1,1.0,1.1,5,0,0.00
Austin Croshere,IND,PF,76,16.9,6.8,2.4,5.9,41.3,0.6,1.9,33.8,1.3,1.5,85.1,3.9,1.0,0.9,0.3,0.4,4,0,0.00
Eddy Curry,CHI,NA,72,16.0,6.7,2.6,5.2,50.1,0.0,0.0,0.0,1.5,2.2,65.6,3.8,0.3,1.0,0.2,0.7,4,0,0.00
Scott Padgett,UTAH,PF,75,17.3,6.7,2.5,5.3,47.6,0.7,1.5,43.4,1.0,1.4,73.5,3.8,1.1,0.9,0.6,0.2,2,0,0.00
Jacque Vaughn,ATL,PG,82,22.6,6.6,2.5,5.3,47.0,0.3,0.7,44.4,1.3,1.5,82.5,2.0,4.3,1.4,0.8,0.0,1,0,0.00
Kelvin Cato,HOU,C,75,25.6,6.6,2.5,4.3,58.3,0.0,0.0,0.0,1.5,2.6,58.2,7.0,0.4,0.7,0.5,1.3,11,0,0.00
Jarron Collins,UTAH,C,70,20.6,6.4,2.3,4.9,46.1,0.0,0.0,0.0,1.9,2.6,74.0,4.2,0.8,0.8,0.4,0.3,1,0,0.00
Eric Williams,BOS,PF,74,23.6,6.4,1.9,5.2,37.4,0.3,1.2,27.9,2.2,3.0,73.1,3.0,1.5,1.3,1.0,0.1,0,0,0.00
Scot Pollard,SAC,C,80,23.5,6.4,2.5,4.5,55.0,0.0,0.0,0.0,1.4,2.1,69.3,7.1,0.7,0.9,0.9,1.0,7,0,0.00
Tyrone Nesby,WSH,F,70,21.4,6.3,2.6,6.0,43.5,0.2,0.7,27.7,0.9,1.3,68.8,4.5,1.3,0.7,0.9,0.3,4,0,0.00
Tyson Chandler,CHI,C,71,19.6,6.1,2.1,4.3,49.7,0.0,0.0,0.0,1.9,3.1,60.4,4.8,0.8,1.4,0.4,1.3,7,0,0.00
Shawn Kemp,POR,C,75,16.4,6.1,2.3,5.4,43.0,0.0,0.1,0.0,1.4,1.7,79.4,3.8,0.7,1.1,0.6,0.4,6,0,0.00
Troy Murphy,GS,PF,82,17.7,5.9,2.2,5.2,42.1,0.0,0.1,33.3,1.5,1.9,77.6,3.9,0.9,1.0,0.4,0.3,3,0,0.00
Lindsey Hunter,LAL,SG,82,19.7,5.8,2.3,6.0,38.2,1.0,2.5,38.0,0.2,0.5,50.0,1.5,1.6,0.7,0.8,0.2,0,0,0.00
Kevin Ollie,CHI,PG,81,21.3,5.7,1.7,4.4,38.8,0.0,0.0,50.0,2.3,2.8,82.4,2.3,3.6,1.3,0.8,0.0,1,0,0.00
Jeff Foster,IND,PF,82,21.8,5.7,2.2,4.8,44.9,0.0,0.2,13.3,1.4,2.2,61.0,6.8,0.9,1.0,0.9,0.5,8,0,0.00
Terry Porter,SA,G,72,18.0,5.5,1.9,4.5,42.4,0.8,2.0,41.5,0.9,1.2,81.9,2.3,2.8,1.2,0.6,0.2,0,0,0.00
Tony Massenburg,MEM,PF,73,17.1,5.5,2.2,4.8,45.6,0.0,0.0,100.0,1.2,1.6,71.8,4.4,0.4,0.9,0.4,0.4,3,0,0.00
Jahidi White,WSH,C,71,19.0,5.4,2.1,3.9,53.8,0.0,0.0,0.0,1.2,2.2,53.9,6.3,0.2,0.9,0.4,1.1,6,0,0.00
