"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[161]",0.358159385229541,0.3590125,0.365705655262678,1002,0.95,0.28288,0.428697,NA,NA,NA,NA,NA,NA,NA
"theta[162]",0.0990588652854291,0.07834055,0.0295179588780042,162.5,0.95,0.000325531,0.263989,NA,NA,NA,NA,NA,NA,NA
"theta[163]",0.405902895209581,0.404727,0.397316577715908,1191.8,0.95,0.3673,0.459906,NA,NA,NA,NA,NA,NA,NA
"theta[164]",0.332907918163673,0.331168,0.327890173757702,1002,0.95,0.271151,0.410231,NA,NA,NA,NA,NA,NA,NA
"theta[165]",0.152711439583832,0.120099,0.0564250009313087,1002,0.95,0.00039865,0.408668,NA,NA,NA,NA,NA,NA,NA
"theta[166]",0.408624672654691,0.4076925,0.396225950005582,1002,0.95,0.343146,0.48268,NA,NA,NA,NA,NA,NA,NA
"theta[167]",0.314039942814371,0.3139365,0.311828497482608,1002,0.95,0.0822442,0.496789,NA,NA,NA,NA,NA,NA,NA
"theta[168]",0.149115384196607,0.1181425,0.049387567924545,1002,0.95,0.00125284,0.393241,NA,NA,NA,NA,NA,NA,NA
"theta[169]",0.374354584830339,0.372986,0.367763271752888,1309.5,0.95,0.329998,0.420266,NA,NA,NA,NA,NA,NA,NA
"theta[170]",0.382036748502994,0.380131,0.370179652151871,1114.7,0.95,0.309558,0.447504,NA,NA,NA,NA,NA,NA,NA
"theta[171]",0.343841631736527,0.3445475,0.345478255425342,1002,0.95,0.275954,0.39593,NA,NA,NA,NA,NA,NA,NA
"theta[172]",0.378677661676647,0.3782375,0.378286340926838,1159.6,0.95,0.329779,0.436592,NA,NA,NA,NA,NA,NA,NA
"theta[173]",0.151874270419162,0.121169,0.0541125016955408,1002,0.95,0.00072354,0.405204,NA,NA,NA,NA,NA,NA,NA
"theta[174]",0.362380550898204,0.362016,0.360720230793921,1002,0.95,0.307824,0.428175,NA,NA,NA,NA,NA,NA,NA
"theta[175]",0.378525460985629,0.3299045,0.277884183259007,109.1,0.95,5.98276e-05,0.887157,NA,NA,NA,NA,NA,NA,NA
"theta[176]",0.148386192809581,0.1168955,0.0516590147758087,1002,0.95,8.83262e-05,0.394463,NA,NA,NA,NA,NA,NA,NA
"theta[177]",0.155869623725549,0.119599,0.054675868206238,1002,0.95,0.00109564,0.431021,NA,NA,NA,NA,NA,NA,NA
"theta[178]",0.376779001996008,0.376003,0.374354556065524,1100.6,0.95,0.330801,0.421237,NA,NA,NA,NA,NA,NA,NA
"theta[179]",0.376966949061876,0.322837,0.293151936323202,31.5,0.95,0.0156929,0.917864,NA,NA,NA,NA,NA,NA,NA
"theta[180]",0.376075501996008,0.3755515,0.382490994123799,1002,0.95,0.316094,0.439669,NA,NA,NA,NA,NA,NA,NA
"theta[181]",0.385481684630739,0.385899,0.390034064574586,1002,0.95,0.32712,0.451636,NA,NA,NA,NA,NA,NA,NA
"theta[182]",0.37138679241517,0.3710975,0.371479987319446,1002,0.95,0.320027,0.42227,NA,NA,NA,NA,NA,NA,NA
"theta[183]",0.352533537924152,0.353444,0.355095686197169,1002,0.95,0.287563,0.414898,NA,NA,NA,NA,NA,NA,NA
"theta[184]",0.0777777951891218,0.05932435,0.02537516585998,1002,0.95,5.75115e-05,0.215199,NA,NA,NA,NA,NA,NA,NA
"theta[185]",0.148563072135729,0.1129845,0.0461525411626658,1002,0.95,0.00087634,0.413331,NA,NA,NA,NA,NA,NA,NA
"theta[186]",0.151670402392216,0.1186715,0.0635046685910204,880.6,0.95,0.000431975,0.400484,NA,NA,NA,NA,NA,NA,NA
