"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[194]",0.372339433373332,0.372126,0.371386887539238,70002,0.95,0.331796,0.413314,NA,NA,NA,NA,NA,NA,NA
"theta[195]",0.37785034996143,0.3772525,0.374443191412716,70002,0.95,0.333565,0.422933,NA,NA,NA,NA,NA,NA,NA
"theta[196]",0.404613433636182,0.3986435,0.380439395522811,36858.6,0.95,0.211748,0.614042,NA,NA,NA,NA,NA,NA,NA
"theta[197]",0.38916424076455,0.3872485,0.387918158401173,66079.1,0.95,0.260151,0.522398,NA,NA,NA,NA,NA,NA,NA
"theta[198]",0.360772578340619,0.3599375,0.357817096845301,71379.9,0.95,0.308657,0.414597,NA,NA,NA,NA,NA,NA,NA
"theta[199]",0.360037770992257,0.3598555,0.361265908012239,70002,0.95,0.317767,0.402072,NA,NA,NA,NA,NA,NA,NA
"theta[200]",0.332382656409817,0.332827,0.333221492392157,70002,0.95,0.257108,0.406778,NA,NA,NA,NA,NA,NA,NA
"theta[201]",0.348780953901317,0.348734,0.348930108760753,70002,0.95,0.296417,0.39816,NA,NA,NA,NA,NA,NA,NA
"theta[202]",0.348976572169367,0.3487905,0.350074270476671,70002,0.95,0.304076,0.394734,NA,NA,NA,NA,NA,NA,NA
"theta[203]",0.345247033241907,0.3451765,0.343704234303695,70002,0.95,0.301582,0.389238,NA,NA,NA,NA,NA,NA,NA
"theta[204]",0.363065952515642,0.3629505,0.364452862668146,70002,0.95,0.321898,0.40546,NA,NA,NA,NA,NA,NA,NA
"theta[205]",0.351331198922888,0.351336,0.349885960169066,70002,0.95,0.305713,0.397338,NA,NA,NA,NA,NA,NA,NA
"theta[206]",0.344172484686152,0.344266,0.34442229053544,68804.9,0.95,0.293677,0.393132,NA,NA,NA,NA,NA,NA,NA
"theta[207]",0.316922813233908,0.3171875,0.315502992423746,70002,0.95,0.273053,0.361308,NA,NA,NA,NA,NA,NA,NA
"theta[208]",0.379381012399646,0.378832,0.376949965251637,71072.5,0.95,0.33438,0.42679,NA,NA,NA,NA,NA,NA,NA
"theta[209]",0.317497927573498,0.317638,0.316603848131555,70002,0.95,0.264767,0.37154,NA,NA,NA,NA,NA,NA,NA
"theta[210]",0.350452240878832,0.35011,0.349232142600439,73546.6,0.95,0.302695,0.398478,NA,NA,NA,NA,NA,NA,NA
"theta[211]",0.35335983620468,0.353565,0.354766455287985,70002,0.95,0.296321,0.412148,NA,NA,NA,NA,NA,NA,NA
"theta[212]",0.358778687437502,0.3583775,0.358844626836031,71451.2,0.95,0.305552,0.410928,NA,NA,NA,NA,NA,NA,NA
"theta[213]",0.363730919788006,0.363437,0.362622125262555,69016,0.95,0.319711,0.40907,NA,NA,NA,NA,NA,NA,NA
"theta[214]",0.345640510485415,0.3455745,0.344244557235846,70002,0.95,0.29987,0.391779,NA,NA,NA,NA,NA,NA,NA
"theta[215]",0.328434128682038,0.328237,0.328096518205257,70002,0.95,0.279031,0.379354,NA,NA,NA,NA,NA,NA,NA
"theta[216]",0.36421091858804,0.3635205,0.361514234430592,69402.2,0.95,0.311187,0.422486,NA,NA,NA,NA,NA,NA,NA
"theta[217]",0.329722006856947,0.329678,0.328134561234131,70002,0.95,0.273108,0.384416,NA,NA,NA,NA,NA,NA,NA
"theta[218]",0.346963494685866,0.3469745,0.349356123072556,70002,0.95,0.299704,0.393423,NA,NA,NA,NA,NA,NA,NA
"theta[219]",0.328727737136082,0.329108,0.327368589873564,70901.4,0.95,0.272919,0.381147,NA,NA,NA,NA,NA,NA,NA
"theta[220]",0.363848020156567,0.363561,0.360940845520124,70002,0.95,0.315828,0.414878,NA,NA,NA,NA,NA,NA,NA
"theta[221]",0.409371737693209,0.407929,0.406806675534084,70002,0.95,0.29189,0.531834,NA,NA,NA,NA,NA,NA,NA
"theta[222]",0.352837356932659,0.352815,0.35552778123247,70002,0.95,0.296379,0.411168,NA,NA,NA,NA,NA,NA,NA
"theta[223]",0.320753754678438,0.3208205,0.323665905759013,67856.1,0.95,0.268476,0.371128,NA,NA,NA,NA,NA,NA,NA
"theta[224]",0.349317094125882,0.348913,0.348712794419487,70002,0.95,0.282985,0.415032,NA,NA,NA,NA,NA,NA,NA
"theta[225]",0.328549861846804,0.3290035,0.327767744380564,70864.2,0.95,0.251448,0.40148,NA,NA,NA,NA,NA,NA,NA
"theta[226]",0.332453120096569,0.3328385,0.338543951786057,70002,0.95,0.256623,0.406762,NA,NA,NA,NA,NA,NA,NA
"theta[227]",0.378626800119997,0.378287,0.375774624129329,70675.2,0.95,0.332974,0.425111,NA,NA,NA,NA,NA,NA,NA
"theta[228]",0.367574020256564,0.367145,0.365936329254064,71415.8,0.95,0.318549,0.415945,NA,NA,NA,NA,NA,NA,NA
"theta[229]",0.347806348004343,0.3471315,0.342393832147327,69237.9,0.95,0.296973,0.401556,NA,NA,NA,NA,NA,NA,NA
"theta[230]",0.385091140295992,0.3838935,0.380850157948621,70002,0.95,0.325624,0.445862,NA,NA,NA,NA,NA,NA,NA
"theta[231]",0.345802316519528,0.345508,0.343741168886985,69464.9,0.95,0.295116,0.395683,NA,NA,NA,NA,NA,NA,NA
"theta[232]",0.305368674774749,0.290226,0.263823372533638,19916,0.95,0.0343986,0.582992,NA,NA,NA,NA,NA,NA,NA
"theta[233]",0.382108883231908,0.3816245,0.380051923383092,72013.4,0.95,0.334556,0.430258,NA,NA,NA,NA,NA,NA,NA
"theta[234]",0.339750552898489,0.339873,0.340752432143029,69828.5,0.95,0.294684,0.383398,NA,NA,NA,NA,NA,NA,NA
"theta[235]",0.354797882960487,0.354691,0.355545751347498,70002,0.95,0.304669,0.403675,NA,NA,NA,NA,NA,NA,NA
"theta[236]",0.35901488313191,0.35828,0.357209885636966,70002,0.95,0.29614,0.423205,NA,NA,NA,NA,NA,NA,NA
"theta[237]",0.305549595249507,0.2910345,0.266010711791827,21259.6,0.95,0.0333976,0.578273,NA,NA,NA,NA,NA,NA,NA
"theta[238]",0.355829422959344,0.3555635,0.355012973672422,69166,0.95,0.304091,0.408192,NA,NA,NA,NA,NA,NA,NA
"theta[239]",0.365778305062712,0.365241,0.363949330787167,70002,0.95,0.320461,0.412126,NA,NA,NA,NA,NA,NA,NA
"theta[240]",0.33847894190166,0.3383225,0.337375440019214,70002,0.95,0.286278,0.391142,NA,NA,NA,NA,NA,NA,NA
"theta[241]",0.355882846147253,0.355587,0.354441597636516,70002,0.95,0.307713,0.40414,NA,NA,NA,NA,NA,NA,NA
"theta[242]",0.34827038964601,0.348286,0.349812195020278,70002,0.95,0.295968,0.39919,NA,NA,NA,NA,NA,NA,NA
"theta[243]",0.30525362715211,0.2914235,0.255540725446721,20746.5,0.95,0.0401249,0.586042,NA,NA,NA,NA,NA,NA,NA
"theta[244]",0.351490557055513,0.3511685,0.347599813040663,70002,0.95,0.306393,0.39921,NA,NA,NA,NA,NA,NA,NA
"theta[245]",0.360195827919202,0.359751,0.358674943121794,68839.3,0.95,0.311498,0.410097,NA,NA,NA,NA,NA,NA,NA
"theta[246]",0.325724630639125,0.326132,0.328362241330926,70002,0.95,0.271425,0.380415,NA,NA,NA,NA,NA,NA,NA
"theta[247]",0.358202816305248,0.3567155,0.350465915388902,70002,0.95,0.297257,0.423825,NA,NA,NA,NA,NA,NA,NA
"theta[248]",0.335231504651296,0.334376,0.328801267178134,70060.6,0.95,0.24314,0.424233,NA,NA,NA,NA,NA,NA,NA
"theta[249]",0.332466798091483,0.3328425,0.335416729874978,70002,0.95,0.257374,0.406923,NA,NA,NA,NA,NA,NA,NA
"theta[250]",0.363461831104826,0.3628865,0.361748953610464,70002,0.95,0.314281,0.414207,NA,NA,NA,NA,NA,NA,NA
"theta[251]",0.341124727364932,0.34127,0.341625735174554,72420.9,0.95,0.290016,0.390669,NA,NA,NA,NA,NA,NA,NA
"theta[252]",0.184260668108714,0.1761235,0.168229434913339,23266.1,0.95,0.00997036,0.358083,NA,NA,NA,NA,NA,NA,NA
"theta[253]",0.323786423716465,0.324172,0.321438685771498,70002,0.95,0.252859,0.393082,NA,NA,NA,NA,NA,NA,NA
"theta[254]",0.332202952301363,0.3321325,0.328300984480508,69895.2,0.95,0.277236,0.385075,NA,NA,NA,NA,NA,NA,NA
"theta[255]",0.332523716779521,0.332075,0.329815257501668,70002,0.95,0.25171,0.415138,NA,NA,NA,NA,NA,NA,NA
"theta[256]",0.344941232779063,0.3446315,0.346055299182307,70081.6,0.95,0.267666,0.42094,NA,NA,NA,NA,NA,NA,NA
"theta[257]",0.487319560641125,0.486792,0.48532703021605,19608.9,0.95,0.364721,0.610507,NA,NA,NA,NA,NA,NA,NA
"theta[258]",0.303847224892146,0.3068765,0.312397725125498,70002,0.95,0.213665,0.3893,NA,NA,NA,NA,NA,NA,NA
